"Name","Age","Level","Team","G","GS","W","L","SV","IP","H","R","ER","WHIP","uBB","BB","SO","SO9","HR","ERA","AB","X1B","X2B","X3B","IBB"
"Alek Manoah",24,"Maj-AL","Toronto",4,4,4,0,0,25,15,4,4,0.88,7,7,25,9,2,1.44,88,12,1,0,0
"Kevin Gausman",31,"Maj-AL","Toronto",4,4,1,1,0,24.2,25,7,6,1.014,0,0,31,11.3,0,2.19,94,22,3,0,0
"Jose Berrios",28,"Maj-AL","Toronto",4,4,1,0,0,18.1,22,10,10,1.582,7,7,15,7.4,3,4.91,76,13,6,0,0
"Ross Stripling",32,"Maj-AL","Toronto",5,3,0,0,0,15,13,6,6,1.133,4,4,12,7.2,0,3.6,57,10,3,0,0
"Yusei Kikuchi",31,"Maj-AL","Toronto",3,3,0,1,0,12,11,8,5,1.75,10,10,9,6.8,2,3.75,46,4,5,0,0
"Jordan Romano",29,"Maj-AL","Toronto",11,0,1,1,9,10.1,8,3,2,0.968,2,2,12,10.5,1,1.74,38,6,1,0,0
"Trent Thornton",28,"Maj-AL","Toronto",6,0,0,1,0,10,7,3,3,1.1,4,4,6,5.4,0,2.7,34,7,0,0,0
"Adam Cimber",31,"Maj-AL","Toronto",9,0,4,0,1,10,6,2,2,0.6,0,0,6,5.4,1,1.8,31,5,0,0,0
"Trevor Richards",29,"Maj-AL","Toronto",9,0,1,0,0,8.1,7,2,1,1.32,4,4,11,11.9,1,1.08,33,5,1,0,0
"Yimi Garcia",31,"Maj-AL","Toronto",9,0,0,1,0,8.1,6,5,4,1.08,3,3,5,5.4,0,4.32,28,3,3,0,0
"Julian Merryweather",30,"Maj-AL","Toronto",9,0,0,2,0,8,8,6,6,1,0,0,8,9,1,6.75,30,2,5,0,0
"Hyun Jin Ryu",35,"Maj-AL","Toronto",2,2,0,0,0,7.1,11,11,11,1.773,2,2,5,6.1,2,13.5,33,5,4,0,0
"David Phelps",35,"Maj-AL","Toronto",8,0,0,0,0,7.1,4,2,2,0.955,3,3,9,11,0,2.45,23,3,1,0,0
"Tim Mayza",30,"Maj-AL","Toronto",8,0,1,0,0,6.2,5,1,1,0.75,0,0,6,8.1,0,1.35,25,4,1,0,0
"Tayler Saucedo",29,"Maj-AL","Toronto",3,0,0,0,0,2.2,5,4,4,1.875,0,0,0,0,3,13.5,13,1,1,0,0
"Anthony Kay",27,"Maj-AL","Toronto",1,0,0,0,0,2,2,1,1,1.5,1,1,3,13.5,0,4.5,7,0,2,0,0
"Ryan Borucki",28,"Maj-AL","Toronto",2,0,0,0,0,1.1,0,0,0,1.5,2,2,2,13.5,0,0,4,0,0,0,0
"Bowden Francis",26,"Maj-AL","Toronto",1,0,0,0,0,0.2,1,0,0,1.5,0,0,1,13.5,0,0,3,0,1,0,0
"Andrew Vasquez",28,"Maj-AL","Toronto",1,0,0,0,0,0.1,2,2,2,6,0,0,0,0,0,54,3,2,0,0,0
