"Name","Age","G","PA","AB","R","H","X1B","X2B","X3B","HR","RBI","BB","IBB","uBB","SO","HBP","GDP","SB","CS","BA","OBP","SLG","OPS","SO%"
"Bo Bichette",24,20,88,85,9,18,14,2,0,2,8,3,0,3,24,0,1,2,1,0.212,0.239,0.306,0.545,27.3
"George Springer",32,19,80,73,12,21,12,5,0,4,10,4,0,4,16,2,0,1,0,0.288,0.338,0.521,0.858,20
"Vladimir Guerrero Jr.",23,19,79,68,11,21,14,2,0,5,13,9,2,7,15,0,0,0,1,0.309,0.38,0.559,0.939,19
"Lourdes Gurriel Jr.",28,20,79,73,11,20,13,5,0,2,10,3,0,3,15,1,0,1,0,0.274,0.304,0.425,0.729,19
"Matt Chapman",29,20,79,73,4,16,9,4,0,3,10,6,0,6,23,0,0,0,0,0.219,0.279,0.397,0.676,29.1
"Santiago Espinal",27,20,69,61,7,16,9,5,0,2,10,6,1,5,15,1,0,3,0,0.262,0.333,0.443,0.776,21.7
"Raimel Tapia",28,16,66,62,8,13,10,2,0,1,3,1,0,1,11,0,0,2,0,0.21,0.219,0.29,0.509,16.7
"Alejandro Kirk",23,17,58,49,1,13,13,0,0,0,2,8,1,7,4,0,1,0,0,0.265,0.362,0.265,0.627,6.9
"Zack Collins",27,11,41,39,4,11,6,2,0,3,7,2,0,2,15,0,0,0,0,0.282,0.317,0.564,0.881,36.6
"Teoscar Hernandez",29,6,23,19,3,6,4,1,0,1,3,2,0,2,6,2,0,0,0,0.316,0.435,0.526,0.961,26.1
